,Customer_ID,Age,Gender,Location,Product_Category,Product_Name,Quantity_Purchased,Unit_Price_GBP,Total_Sales_GBP,Order_Date,Delivery_Time_Days,Shipping_Status,Customer_Rating,Returned,Return_Reason,Customer_Segment,Return_Flag,On_Time_Flag,Order_Month,Order_Year,Average_Order_Value,Age_Group
0,C1000,56,Female,London,Fashion,Jacket,5,58,290,10/03/2025,6,Delayed,4,No,No Return,Medium,0,0,2025-03,2025,290,51-65
1,C1001,46,Male,Bristol,Fashion,Jacket,4,145,580,28/05/2025,7,Delayed,3,No,No Return,High,0,0,2025-05,2025,580,36-50
2,C1002,32,Male,London,Electronics,Headphones,2,271,542,16/01/2025,4,On-Time,4,No,No Return,High,0,1,2025-01,2025,542,26-35
3,C1003,60,Female,Liverpool,Fashion,Trainers,1,60,60,03/11/2025,6,Delayed,3,No,No Return,Low,0,0,2025-11,2025,60,51-65
4,C1004,25,Male,Liverpool,Fashion,Trainers,2,64,128,15/04/2025,7,Delayed,4,No,No Return,Medium,0,0,2025-04,2025,128,18-25
5,C1005,38,Female,Manchester,Home Goods,Vacuum,2,204,408,14/06/2025,4,On-Time,3,No,No Return,Medium,0,1,2025-06,2025,408,36-50
6,C1006,56,Male,Sheffield,Fashion,Jacket,1,124,124,20/07/2025,8,Delayed,3,No,No Return,Medium,0,0,2025-07,2025,124,51-65
7,C1007,36,Female,Liverpool,Electronics,Smartwatch,1,238,238,16/07/2025,9,Delayed,3,No,No Return,Medium,0,0,2025-07,2025,238,36-50
8,C1008,40,Female,Manchester,Home Goods,Blender,5,178,890,04/07/2025,1,On-Time,5,No,No Return,High,0,1,2025-07,2025,890,36-50
9,C1009,28,Male,Leeds,Electronics,Smartwatch,5,132,660,18/11/2025,7,Delayed,3,No,No Return,High,0,0,2025-11,2025,660,26-35
10,C1010,28,Male,London,Fashion,T-Shirt,1,67,67,22/09/2025,9,Delayed,3,No,No Return,Low,0,0,2025-09,2025,67,26-35
11,C1011,41,Male,Glasgow,Electronics,Laptop,3,887,2661,29/12/2025,10,Delayed,2,Yes,Wrong Item,Premium,1,0,2025-12,2025,2661,36-50
12,C1012,53,Male,Leeds,Fashion,Jacket,5,105,525,10/04/2025,5,On-Time,4,No,No Return,High,0,1,2025-04,2025,525,51-65
13,C1013,57,Other,Liverpool,Home Goods,Blender,3,206,618,08/12/2025,2,On-Time,5,No,No Return,High,0,1,2025-12,2025,618,51-65
14,C1014,41,Male,Leeds,Electronics,Smartphone,1,437,437,16/11/2025,10,Delayed,2,Yes,Late Delivery,Medium,1,0,2025-11,2025,437,36-50
15,C1015,20,Female,Leeds,Home Goods,Vacuum,5,149,745,02/08/2025,6,Delayed,3,Yes,Late Delivery,High,1,0,2025-08,2025,745,18-25
16,C1016,39,Male,Sheffield,Electronics,Smartwatch,2,243,486,05/10/2025,7,Delayed,4,No,No Return,Medium,0,0,2025-10,2025,486,36-50
17,C1017,19,Female,Sheffield,Home Goods,Cookware Set,1,79,79,11/06/2025,2,On-Time,4,No,No Return,Low,0,1,2025-06,2025,79,18-25
18,C1018,41,Female,Sheffield,Home Goods,Blender,4,235,940,06/06/2025,2,On-Time,5,No,No Return,High,0,1,2025-06,2025,940,36-50
19,C1019,61,Female,Leeds,Home Goods,Cookware Set,3,36,108,08/09/2025,10,Delayed,3,No,No Return,Medium,0,0,2025-09,2025,108,51-65
20,C1020,47,Male,Liverpool,Electronics,Smartphone,1,443,443,07/04/2025,10,Delayed,3,No,No Return,Medium,0,0,2025-04,2025,443,36-50
21,C1021,55,Male,Glasgow,Home Goods,Cookware Set,1,35,35,18/01/2025,1,On-Time,4,No,No Return,Low,0,1,2025-01,2025,35,51-65
22,C1022,19,Male,Bristol,Fashion,T-Shirt,5,60,300,23/11/2025,4,On-Time,4,No,No Return,Medium,0,1,2025-11,2025,300,18-25
23,C1023,38,Female,Leeds,Electronics,Smartphone,5,722,3610,07/04/2025,7,Delayed,4,Yes,Changed Mind,Premium,1,0,2025-04,2025,3610,36-50
24,C1024,50,Female,Manchester,Home Goods,Chair,5,178,890,01/01/2025,9,Delayed,3,No,No Return,High,0,0,2025-01,2025,890,36-50
25,C1025,29,Other,Liverpool,Electronics,Smartwatch,4,156,624,04/08/2025,3,On-Time,5,No,No Return,High,0,1,2025-08,2025,624,26-35
26,C1026,39,Male,Leeds,Home Goods,Lamp,5,107,535,12/05/2025,7,Delayed,3,Yes,Late Delivery,High,1,0,2025-05,2025,535,36-50
27,C1027,61,Female,Glasgow,Electronics,Laptop,1,728,728,17/09/2025,7,Delayed,3,Yes,Late Delivery,High,1,0,2025-09,2025,728,51-65
28,C1028,42,Female,Bristol,Fashion,Trainers,5,40,200,05/05/2025,7,Delayed,2,Yes,Wrong Item,Medium,1,0,2025-05,2025,200,36-50
29,C1029,44,Male,Sheffield,Fashion,T-Shirt,2,18,36,23/03/2025,2,On-Time,5,No,No Return,Low,0,1,2025-03,2025,36,36-50
30,C1030,59,Male,Liverpool,Electronics,Headphones,5,120,600,10/10/2025,6,Delayed,3,No,No Return,High,0,0,2025-10,2025,600,51-65
31,C1031,45,Female,Birmingham,Electronics,Headphones,4,203,812,20/06/2025,2,On-Time,5,No,No Return,High,0,1,2025-06,2025,812,36-50
32,C1032,33,Female,Bristol,Electronics,Smartphone,2,605,1210,28/02/2025,6,Delayed,3,No,No Return,High,0,0,2025-02,2025,1210,26-35
33,C1033,32,Female,Manchester,Fashion,Trainers,1,41,41,01/02/2025,10,Delayed,2,No,No Return,Low,0,0,2025-02,2025,41,26-35
34,C1034,64,Male,Leeds,Electronics,Headphones,1,144,144,10/06/2025,3,On-Time,5,No,No Return,Medium,0,1,2025-06,2025,144,51-65
35,C1035,61,Female,Glasgow,Fashion,Jacket,3,120,360,11/10/2025,2,On-Time,4,No,No Return,Medium,0,1,2025-10,2025,360,51-65
36,C1036,20,Male,Birmingham,Electronics,Laptop,2,824,1648,16/04/2025,6,Delayed,3,No,No Return,High,0,0,2025-04,2025,1648,18-25
37,C1037,54,Male,Glasgow,Electronics,Tablet,3,547,1641,15/04/2025,2,On-Time,5,No,No Return,High,0,1,2025-04,2025,1641,51-65
38,C1038,24,Male,Birmingham,Fashion,Jacket,2,135,270,16/08/2025,5,On-Time,4,No,No Return,Medium,0,1,2025-08,2025,270,18-25
39,C1039,38,Female,Liverpool,Electronics,Headphones,2,114,228,07/07/2025,2,On-Time,5,No,No Return,Medium,0,1,2025-07,2025,228,36-50
40,C1040,26,Female,Birmingham,Home Goods,Lamp,4,66,264,11/03/2025,3,On-Time,5,No,No Return,Medium,0,1,2025-03,2025,264,26-35
41,C1041,56,Female,Manchester,Home Goods,Cookware Set,3,239,717,14/11/2025,3,On-Time,5,No,No Return,High,0,1,2025-11,2025,717,51-65
42,C1042,35,Male,Manchester,Fashion,Jeans,4,67,268,17/10/2025,6,Delayed,4,No,No Return,Medium,0,0,2025-10,2025,268,26-35
